flatmates,deposit,monthly_price_avg,space_per_person,total_space,has_access_yn,bills_electricity_yn,bills_water_yn,bills_gas_yn,bills_wifi_yn,feature_furnished_yn,feature_dishwasher_yn,feature_washing_machine_yn,feature_equipped_kitchen_yn,feature_balcony_yn,feature_parking_yn,feature_tv_yn,feature_oven_yn,feature_elevator_yn,english_spoken_yn,german_spoken_yn,russian_spoken_yn,spanish_spoken_yn,sqr_m_price_avg,district_Adlershof,district_Bavarian Quarter,district_Berlin,district_Charlottenburg,district_Friedenau,district_Friedrichshain,district_Friedrichshain-Kreuzberg,district_Gesundbrunnen,district_Hermsdorf,district_Kreuzberg,district_Lichtenberg,district_Marienfelde,district_Marzahn,district_Mitte,district_Moabit,district_Neukölln,district_Other,district_Pankow,district_Prenzlauer Berg,district_Reinickendorf,district_Rudolfkiez,district_Schöneberg,district_Schönefeld,district_Spandau,district_Steglitz,district_Teltow,district_Tempelhof,district_Tiergarten,district_Treptow,district_Treptow-Köpenick,district_Wedding,district_Weissensee,district_Westend,district_Wilmersdorf,property_Apartment,property_Room,property_Studio
4,1080.0,540.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1120.0,560.0,23.0,70.0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1160.0,580.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1020.0,510.0,23.0,116.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1020.0,510.0,23.0,116.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1160.0,580.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1060.0,530.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1160.0,580.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1080.0,540.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1120.0,560.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1140.0,570.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1140.0,570.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1180.0,590.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1120.0,560.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1120.0,560.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1120.0,560.0,23.0,70.0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1120.0,560.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1120.0,560.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1120.0,560.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1140.0,570.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1140.0,570.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1140.0,570.0,23.0,70.0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1140.0,570.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1140.0,570.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1160.0,580.0,23.0,116.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1180.0,590.0,23.0,116.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1180.0,590.0,23.0,116.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1180.0,590.0,23.0,116.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1180.0,590.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1200.0,600.0,23.0,70.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2600.0,1300.0,55.0,55.0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,24.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1240.0,620.0,23.0,70.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1340.0,670.0,23.0,70.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1360.0,680.0,23.0,116.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,930.0,465.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1120.0,560.0,23.0,70.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,950.0,520.0,23.0,70.0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,950.0,490.0,23.0,93.0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1420.0,710.0,23.0,70.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,950.0,500.0,23.0,70.0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,950.0,510.0,23.0,93.0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,950.0,490.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,950.0,490.0,23.0,93.0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,950.0,500.0,23.0,116.0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
